deformation,eta,energy_Ry,volume_au3
isotropic,-0.006,-22.66564853,144.0002
isotropic,-0.004,-22.6616725,144.8712
isotropic,-0.002,-22.65767351,145.7456
isotropic,0.0,-22.65365056,146.6236
isotropic,0.002,-22.64960838,147.5051
isotropic,0.004,-22.64554833,148.3902
isotropic,0.006,-22.64147679,149.2787
tetragonal,-0.006,-22.86317867,132.887
tetragonal,-0.004,-22.86318806,132.895
tetragonal,-0.002,-22.86319361,132.8997
tetragonal,0.0,-22.86319626,132.9013
tetragonal,0.002,-22.8631937,132.8997
tetragonal,0.004,-22.86318776,132.8949
tetragonal,0.006,-22.86317779,132.8869
trigonal,-0.006,-22.65839496,146.6223
trigonal,-0.004,-22.65681662,146.623
trigonal,-0.002,-22.65523474,146.6235
trigonal,0.0,-22.65365056,146.6236
trigonal,0.002,-22.65206152,146.6235
trigonal,0.004,-22.65047023,146.623
trigonal,0.006,-22.64887575,146.6223
