E (eV)  dos(E)      ldos(E)    ldos(E)  
-6.189  0.101E-03  0.501E-04  0.170E-06
-6.089  0.174E-01  0.862E-02  0.454E-04
-5.989  0.444E+00  0.219E+00  0.190E-02
-5.889  0.186E+01  0.913E+00  0.156E-01
-5.789  0.195E+01  0.931E+00  0.405E-01
-5.689  0.125E+01  0.568E+00  0.533E-01
-5.589  0.109E+01  0.477E+00  0.683E-01
-5.489  0.743E+00  0.313E+00  0.567E-01
-5.389  0.915E+00  0.372E+00  0.840E-01
-5.289  0.680E+00  0.272E+00  0.662E-01
-5.189  0.510E+00  0.198E+00  0.562E-01
-5.089  0.866E+00  0.330E+00  0.101E+00
-4.989  0.542E+00  0.205E+00  0.650E-01
-4.889  0.367E+00  0.136E+00  0.467E-01
-4.789  0.690E+00  0.252E+00  0.915E-01
-4.689  0.701E+00  0.255E+00  0.935E-01
-4.589  0.336E+00  0.121E+00  0.459E-01
-4.489  0.341E+00  0.122E+00  0.473E-01
-4.389  0.776E+00  0.278E+00  0.109E+00
-4.289  0.564E+00  0.202E+00  0.790E-01
-4.189  0.312E+00  0.112E+00  0.437E-01
-4.089  0.371E+00  0.133E+00  0.513E-01
-3.989  0.823E+00  0.297E+00  0.113E+00
-3.889  0.526E+00  0.190E+00  0.714E-01
-3.789  0.408E+00  0.150E+00  0.531E-01
-3.689  0.822E+00  0.307E+00  0.103E+00
-3.589  0.110E+01  0.415E+00  0.133E+00
-3.489  0.815E+00  0.311E+00  0.950E-01
-3.389  0.170E+00  0.652E-01  0.197E-01
-3.289  0.561E-02  0.215E-02  0.647E-03
-3.189  0.263E-04  0.101E-04  0.302E-05
-3.089  0.170E-07  0.653E-08  0.196E-08
-2.989  0.151E-11  0.578E-12  0.173E-12
-2.889  0.181E-16  0.694E-17  0.208E-17
-2.789  0.000E+00  0.000E+00  0.000E+00
-2.689  0.000E+00  0.000E+00  0.000E+00
-2.589  0.000E+00  0.000E+00  0.000E+00
-2.489  0.000E+00  0.000E+00  0.000E+00
-2.389  0.000E+00  0.000E+00  0.000E+00
-2.289  0.000E+00  0.000E+00  0.000E+00
-2.189  0.000E+00  0.000E+00  0.000E+00
-2.089  0.000E+00  0.000E+00  0.000E+00
-1.989  0.000E+00  0.000E+00  0.000E+00
-1.889  0.000E+00  0.000E+00  0.000E+00
-1.789  0.000E+00  0.000E+00  0.000E+00
-1.689  0.000E+00  0.000E+00  0.000E+00
-1.589  0.000E+00  0.000E+00  0.000E+00
-1.489  0.412E-16  0.470E-17  0.156E-16
-1.389  0.298E-11  0.340E-12  0.113E-11
-1.289  0.292E-07  0.333E-08  0.111E-07
-1.189  0.390E-04  0.445E-05  0.148E-04
-1.089  0.716E-02  0.818E-03  0.272E-02
-0.989  0.187E+00  0.213E-01  0.708E-01
-0.889  0.743E+00  0.854E-01  0.281E+00
-0.789  0.719E+00  0.853E-01  0.270E+00
-0.689  0.871E+00  0.108E+00  0.322E+00
-0.589  0.417E+00  0.523E-01  0.154E+00
-0.489  0.260E+00  0.344E-01  0.941E-01
-0.389  0.195E+00  0.260E-01  0.704E-01
-0.289  0.191E+00  0.267E-01  0.678E-01
-0.189  0.774E+00  0.108E+00  0.274E+00
