E (eV)  dos(E)      O 2p(E)    Ti 3d(E)   
-8.000  0.000E+00  0.000E+00  0.000E+00
-7.900  0.000E+00  0.000E+00  0.000E+00
-7.800  0.360E-14  0.198E-18  0.612E-16
-7.700  0.134E-09  0.777E-14  0.227E-11
-7.600  0.690E-06  0.430E-10  0.116E-07
-7.500  0.498E-03  0.346E-07  0.833E-05
-7.400  0.518E-01  0.429E-05  0.853E-03
-7.300  0.843E+00  0.934E-04  0.132E-01
-7.200  0.302E+01  0.489E-03  0.356E-01
-7.100  0.541E+01  0.914E-03  0.237E-01
-7.000  0.407E+01  0.642E-03  0.515E-02
-6.900  0.129E+01  0.242E-03  0.323E-03
-6.800  0.719E+00  0.147E-03  0.235E-04
-6.700  0.602E+00  0.153E-03  0.641E-05
-6.600  0.563E+00  0.187E-03  0.582E-03
-6.500  0.122E+01  0.297E-03  0.466E-01
-6.400  0.864E+01  0.131E-02  0.539E+00
-6.300  0.169E+02  0.313E-02  0.946E+00
-6.200  0.111E+02  0.249E-02  0.308E+00
-6.100  0.486E+01  0.103E-02  0.355E-01
-6.000  0.654E+00  0.161E-03  0.211E-02
-5.900  0.172E-01  0.524E-05  0.356E-04
-5.800  0.770E-04  0.271E-07  0.117E-06
-5.700  0.535E-07  0.203E-10  0.635E-10
-5.600  0.543E-11  0.213E-14  0.524E-14
-5.500  0.773E-16  0.309E-19  0.620E-19
-5.400  0.000E+00  0.000E+00  0.000E+00
-5.300  0.000E+00  0.000E+00  0.000E+00
-5.200  0.000E+00  0.000E+00  0.000E+00
-5.100  0.000E+00  0.000E+00  0.000E+00
-5.000  0.000E+00  0.000E+00  0.000E+00
-4.900  0.000E+00  0.000E+00  0.000E+00
-4.800  0.000E+00  0.000E+00  0.000E+00
-4.700  0.000E+00  0.000E+00  0.000E+00
-4.600  0.000E+00  0.000E+00  0.000E+00
-4.500  0.000E+00  0.000E+00  0.000E+00
-4.400  0.000E+00  0.000E+00  0.000E+00
-4.300  0.000E+00  0.000E+00  0.000E+00
-4.200  0.000E+00  0.000E+00  0.000E+00
-4.100  0.000E+00  0.000E+00  0.000E+00
-4.000  0.000E+00  0.000E+00  0.000E+00
-3.900  0.000E+00  0.000E+00  0.000E+00
-3.800  0.000E+00  0.000E+00  0.000E+00
-3.700  0.000E+00  0.000E+00  0.000E+00
-3.600  0.000E+00  0.000E+00  0.000E+00
-3.500  0.000E+00  0.000E+00  0.000E+00
-3.400  0.000E+00  0.000E+00  0.000E+00
-3.300  0.000E+00  0.000E+00  0.000E+00
-3.200  0.000E+00  0.000E+00  0.000E+00
-3.100  0.000E+00  0.000E+00  0.000E+00
-3.000  0.000E+00  0.000E+00  0.000E+00
-2.900  0.000E+00  0.000E+00  0.000E+00
-2.800  0.000E+00  0.000E+00  0.000E+00
-2.700  0.000E+00  0.000E+00  0.000E+00
-2.600  0.000E+00  0.000E+00  0.000E+00
-2.500  0.000E+00  0.000E+00  0.000E+00
-2.400  0.000E+00  0.000E+00  0.000E+00
-2.300  0.000E+00  0.000E+00  0.000E+00
-2.200  0.000E+00  0.000E+00  0.000E+00
-2.100  0.000E+00  0.000E+00  0.000E+00
-2.000  0.000E+00  0.000E+00  0.000E+00
-1.900  0.000E+00  0.000E+00  0.000E+00
-1.800  0.000E+00  0.000E+00  0.000E+00
-1.700  0.199E-13  0.755E-15  0.328E-15
-1.600  0.596E-09  0.226E-10  0.981E-11
-1.500  0.246E-05  0.929E-07  0.404E-07
-1.400  0.141E-02  0.532E-04  0.231E-04
-1.300  0.115E+00  0.432E-02  0.188E-02
-1.200  0.141E+01  0.527E-01  0.228E-01
-1.100  0.316E+01  0.115E+00  0.495E-01
-1.000  0.246E+01  0.826E-01  0.350E-01
-0.900  0.190E+01  0.558E-01  0.229E-01
-0.800  0.180E+01  0.464E-01  0.182E-01
-0.700  0.205E+01  0.458E-01  0.161E-01
-0.600  0.473E+01  0.963E-01  0.166E-01
-0.500  0.134E+02  0.265E+00  0.243E-01
