deformation,eta,energy_Ry
isotropic,-0.006,-19.26019595
isotropic,-0.004,-19.26037459
isotropic,-0.002,-19.26048785
isotropic,0.0,-19.26053638
isotropic,0.002,-19.26052178
isotropic,0.004,-19.26044725
isotropic,0.006,-19.2603101
tetragonal,-0.006,-19.26034545
tetragonal,-0.004,-19.26045184
tetragonal,-0.002,-19.26051554
tetragonal,0.0,-19.26053638
tetragonal,0.002,-19.26051545
tetragonal,0.004,-19.26045344
tetragonal,0.006,-19.26035108
trigonal,-0.006,-19.26050192
trigonal,-0.004,-19.26052107
trigonal,-0.002,-19.26053253
trigonal,0.0,-19.26053638
trigonal,0.002,-19.26053253
trigonal,0.004,-19.26052107
trigonal,0.006,-19.26050192
