deformation,eta,energy_Ry,volume_au3
isotropic,-0.006,-19.26019595,260.5552
isotropic,-0.004,-19.26037459,262.1311
isotropic,-0.002,-19.26048785,263.7134
isotropic,0.0,-19.26053638,265.302
isotropic,0.002,-19.26052178,266.897
isotropic,0.004,-19.26044725,268.4984
isotropic,0.006,-19.2603101,270.1061
tetragonal,-0.006,-19.26034545,265.2735
tetragonal,-0.004,-19.26045184,265.2893
tetragonal,-0.002,-19.26051554,265.2988
tetragonal,0.0,-19.26053638,265.302
tetragonal,0.002,-19.26051545,265.2988
tetragonal,0.004,-19.26045344,265.2892
tetragonal,0.006,-19.26035108,265.2732
trigonal,-0.006,-19.26050192,265.2996
trigonal,-0.004,-19.26052107,265.3009
trigonal,-0.002,-19.26053253,265.3017
trigonal,0.0,-19.26053638,265.302
trigonal,0.002,-19.26053253,265.3017
trigonal,0.004,-19.26052107,265.3009
trigonal,0.006,-19.26050192,265.2996
